Line,From,To,Flow (MW)_NoSw,Utilization (%)_NoSw,Congested_NoSw,Flow (MW)_WithSw,Utilization (%)_WithSw,Congested_WithSw,Status
0,1,2,164.07,57.9,False,274.54,96.9,True,ON
1,1,5,76.8,100.0,True,0.0,0.0,False,OFF
2,2,3,74.01,85.1,False,86.98,100.0,True,ON
3,2,4,58.04,61.2,False,85.17,89.8,False,ON
4,2,5,42.68,44.2,False,79.39,82.2,False,ON
5,3,4,-25.84,26.9,False,-12.87,13.4,False,ON
6,4,5,-66.78,16.8,False,-28.84,7.2,False,ON
7,4,7,30.7,36.3,False,32.07,37.9,False,ON
8,4,9,17.61,55.4,False,18.4,57.9,False,ON
9,5,6,44.65,63.6,False,42.49,60.5,False,ON
10,6,11,6.71,8.3,False,5.41,6.7,False,ON
11,6,12,8.0,12.8,False,7.81,12.5,False,ON
12,6,13,18.07,15.0,False,17.4,14.4,False,ON
13,7,8,0.0,0.0,False,0.0,0.0,False,ON
14,7,9,30.7,19.2,False,32.07,20.0,False,ON
15,9,10,6.54,3.4,False,7.84,4.0,False,ON
16,9,14,10.5,17.7,False,11.36,19.1,False,ON
17,10,11,-3.0,3.5,False,-1.7,2.0,False,ON
18,12,13,1.54,2.6,False,1.34,2.3,False,ON
19,13,14,5.29,11.6,False,4.44,9.7,False,ON
